X,Y,Name,Acronym,Street_Address,City,Province,Postal_Code,F_LATITUDE,F_LONGITUDE,F_Canada_Code,F_Canada_Name,F_Province_Code,F_Province_Name,F_Census_Division_Code,F_Census_Division_Name,F_Census_Subdivision_Code,F_Census_Subdivision_Name,F_Federal_Electoral_District__2,F_Federal_Electoral_District__3,F_Dissemination_Area_Code,F_Dissemination_Area_Name,F_Aggregate_Dissemination_Area_,F_Aggregate_Dissemination_Area1,F_Census_Metropolitan_Area_Code,F_Census_Metropolitan_Area_Name,F_Census_Tract_Code,F_Census_Tract_Name,F_Forward_Sortation_Area__Q4__2,F_Forward_Sortation_Area__Q4__3,F_Precision,ObjectId
-75.59368,45.15352,Osgoode,OS,5630 Osgoode Main,Ottawa,ON,K0A 2W0,45.15352,-75.59368,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35061473,"35061473, ON",35060123,"35060123, ON",505,"Ottawa - Gatineau, ON/QC",5050191.02,"Ottawa - Gatineau (0191.02), ON",K0A,"K0A (Almonte, ON)",Unique ePCCF,23
-75.83365,45.19916,Richmond,RM,6240 Perth,Ottawa,ON,K0A 2Z0,45.19916,-75.83365,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35061148,"35061148, ON",35060127,"35060127, ON",505,"Ottawa - Gatineau, ON/QC",5050151.03,"Ottawa - Gatineau (0151.03), ON",K0A,"K0A (Almonte, ON)",Unique ePCCF,24
-75.683066,45.429883,Rideau,RI,377 Rideau,Ottawa,ON,K1N 5Y6,45.429883,-75.683066,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35078,"Ottawa--Vanier, ON",35061794,"35061794, ON",35060027,"35060027, ON",505,"Ottawa - Gatineau, ON/QC",5050053,"Ottawa - Gatineau (0053.00), ON",K1N,"K1N (Ottawa, ON)",Street,25
-75.679071,45.450763,Rockcliffe Park,RP,380 Springfield,Ottawa,ON,K1M 0L7,45.450763,-75.679071,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35078,"Ottawa--Vanier, ON",35060222,"35060222, ON",35060018,"35060018, ON",505,"Ottawa - Gatineau, ON/QC",5050110,"Ottawa - Gatineau (0110.00), ON",K1M,"K1M (Ottawa, ON)",Street,26
-75.72607,45.401629,Rosemount,RO,18 Rosemount,Ottawa,ON,K1Y 1P4,45.401629,-75.72607,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35075,"Ottawa Centre, ON",35060381,"35060381, ON",35060139,"35060139, ON",505,"Ottawa - Gatineau, ON/QC",5050043,"Ottawa - Gatineau (0043.00), ON",K1Y,"K1Y (Ottawa, ON)",Street,27
-75.760826,45.281535,Ruth E. Dickinson,RD,100 Malvern,Ottawa,ON,K2J 2G5,45.281535,-75.760826,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35064,"Nepean, ON",35061159,"35061159, ON",35060114,"35060114, ON",505,"Ottawa - Gatineau, ON/QC",5050140.07,"Ottawa - Gatineau (0140.07), ON",K2J,"K2J (Ottawa, ON)",Street,28
-75.915466,45.254049,Stittsville,ST,1637 Stittsville Main,Ottawa,ON,K2S 1A9,45.254049,-75.915466,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35060696,"35060696, ON",35060119,"35060119, ON",505,"Ottawa - Gatineau, ON/QC",5050151.06,"Ottawa - Gatineau (0151.06), ON",K2S,"K2S (Ottawa, ON)",Street,29
-75.64759,45.43566,Saint Laurent,SL,515 Côté,Ottawa,ON,K1K 0Z8,45.43566,-75.64759,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35078,"Ottawa--Vanier, ON",35060186,"35060186, ON",35060130,"35060130, ON",505,"Ottawa - Gatineau, ON/QC",5050061,"Ottawa - Gatineau (0061.00), ON",K1K,"K1K (Ottawa, ON)",Unique ePCCF,30
-75.68399,45.395341,Sunnyside,SU,1049 Bank,Ottawa,ON,K1S 3W9,45.395341,-75.68399,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35075,"Ottawa Centre, ON",35061627,"35061627, ON",35060043,"35060043, ON",505,"Ottawa - Gatineau, ON/QC",5050016,"Ottawa - Gatineau (0016.00), ON",K1S,"K1S (Ottawa, ON)",Street,31
-75.66206,45.44228,Vanier,VA,310 Pères Blancs,Ottawa,ON,K1L 7L5,45.44228,-75.66206,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35078,"Ottawa--Vanier, ON",35060210,"35060210, ON",35060131,"35060131, ON",505,"Ottawa - Gatineau, ON/QC",5050103,"Ottawa - Gatineau (0103.00), ON",K1L,"K1L (Ottawa, ON)",Unique ePCCF,32
-75.46409,45.16375,Vernon,VE,8682 Bank,Ottawa,ON,K0A 3J0,45.16375,-75.46409,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35061462,"35061462, ON",35060123,"35060123, ON",505,"Ottawa - Gatineau, ON/QC",5050190.01,"Ottawa - Gatineau (0190.01), ON",K0A,"K0A (Almonte, ON)",Unique ePCCF,33
-75.673019,45.35074,Kiosk / Lockers,KIOSK,3320 Paul Anka Dr.,Ottawa,ON,K1V 0J9,45.35074,-75.673019,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35077,"Ottawa South, ON",35061249,"35061249, ON",35060062,"35060062, ON",505,"Ottawa - Gatineau, ON/QC",5050002.05,"Ottawa - Gatineau (0002.05), ON",K1V,"K1V (Ottawa, ON)",Street,34
